,Split,Correct,Incorrect,Accuracy,test_size
0,0,27,2,0.9310344827586207,0.05
1,1,54,3,0.9473684210526315,0.1
2,2,79,7,0.9186046511627907,0.15000000000000002
3,3,106,8,0.9298245614035088,0.2
4,4,135,8,0.9440559440559441,0.25
5,5,162,9,0.9473684210526315,0.30000000000000004
6,6,188,12,0.94,0.35000000000000003
7,7,216,12,0.9473684210526315,0.4
8,8,241,16,0.9377431906614786,0.45
9,9,270,15,0.9473684210526315,0.5
10,10,295,18,0.9424920127795527,0.55
11,11,326,16,0.9532163742690059,0.6000000000000001
12,12,351,19,0.9486486486486486,0.65
13,13,377,22,0.9448621553884712,0.7000000000000001
14,14,403,24,0.9437939110070258,0.75
15,15,432,24,0.9473684210526315,0.8
16,16,452,32,0.9338842975206612,0.8500000000000001
17,17,485,28,0.9454191033138402,0.9
18,18,510,31,0.9426987060998152,0.9500000000000001
